Date of Incident,State,Mine Name,Type of Mine,Shift,Worker Age,Worker Experience (Years),Occupation/Role,Accident Type,Root Cause Category,Injury Severity,Description,PPE Used,No. of Persons Killed,No. of Persons Seriously Injured,Place of Accident,Responsibility,Company
2016-05-13,West Bengal,Sangramgarh Colliery,Opencast,B,31,1,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Pit Floor in a Opencast operation during shift B. Role: Overman.,No,1,0,Pit Floor,Worker & Supervisor,ECL
2016-05-23,Maharashtra,Majri Area,Below Ground,A,34,7.8,Overman,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Development Panel in a Below Ground operation during shift A. Role: Overman.,Yes,0,1,Development Panel,Shared,WCL
2016-05-26,Odisha,Ananta OCP,Below Ground,C,28,4.9,Shovel Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Shovel Operator.,No,0,1,Belt Conveyor Line,Shared,MCL
2016-06-03,Jharkhand,Lodna Colliery,Below Ground,B,26,1.3,Mining Sirdar,Transportation Machinery (Winding),Mechanical Failure / Procedural,Serious Injury,Transportation Machinery (Winding) incident at Development Panel in a Below Ground operation during shift B. Role: Mining Sirdar.,No,0,1,Development Panel,Worker & Supervisor,BCCL
2016-06-05,Jharkhand,Kargali OCP,Opencast,B,29,11.1,Shovel Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Pit Floor in a Opencast operation during shift B. Role: Shovel Operator.,Yes,1,0,Pit Floor,Worker & Supervisor,CCL
2016-06-08,West Bengal,Sariala Colliery,Above Ground,C,23,10.8,Electrician,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Weigh Bridge in a Above Ground operation during shift C. Role: Electrician.,Yes,0,1,Weigh Bridge,Maintenance & Management,ECL
2016-06-13,Telangana,Ramagundam OC,Below Ground,C,26,9.7,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift C. Role: Overman.,Yes,0,1,Development Panel,Worker & Supervisor,SCCL
2016-06-18,Jharkhand,Jharia Colliery,Below Ground,C,37,8.1,Drill Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Working Face in a Below Ground operation during shift C. Role: Drill Operator.,No,0,1,Working Face,Shared,BCCL
2016-06-18,Maharashtra,Majri Area,Above Ground,A,30,10.4,Dumper Operator,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Surface Substation in a Above Ground operation during shift A. Role: Dumper Operator.,Yes,0,1,Surface Substation,Management (Design/Safety),WCL
2016-06-19,Jharkhand,Parej East OCP,Below Ground,B,36,11,Blaster,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Gate Roadway in a Below Ground operation during shift B. Role: Blaster.,No,2,0,Gate Roadway,Management (Design/Safety),CCL
2016-06-21,Tamil Nadu,Neyveli Mine IA,Above Ground,A,30,5.5,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Surface Substation in a Above Ground operation during shift A. Role: Dumper Operator.,No,0,1,Surface Substation,Worker & Supervisor,NLC
2016-06-27,Chhattisgarh,Chhal OCP,Below Ground,B,37,10.5,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift B. Role: HEMM Operator.,No,0,1,Working Face,Worker,SECL
2016-06-27,Telangana,Ramagundam OC,Below Ground,B,36,13.2,Drill Operator,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Development Panel in a Below Ground operation during shift B. Role: Drill Operator.,No,2,0,Development Panel,Management (Design/Safety),SCCL
2016-06-28,Madhya Pradesh,Chhal OCP,Below Ground,B,35,5.7,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Development Panel in a Below Ground operation during shift B. Role: Dumper Operator.,No,0,1,Development Panel,Worker,SECL
2016-07-05,Chhattisgarh,Chhal OCP,Below Ground,B,36,5.5,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Overman.,No,0,1,Belt Conveyor Line,Worker & Supervisor,SECL
2016-07-08,Tamil Nadu,Neyveli Mine II,Below Ground,C,31,0.7,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Drill Operator.,No,1,0,X-Cut / Junction,Worker & Supervisor,NLC
2016-07-15,Madhya Pradesh,Durgapur OCP,Below Ground,A,24,13.3,Dumper Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Development Panel in a Below Ground operation during shift A. Role: Dumper Operator.,No,0,1,Development Panel,Maintenance & Management,WCL
2016-07-19,Telangana,Manuguru OCP,Below Ground,A,27,3.7,Mining Sirdar,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Development Panel in a Below Ground operation during shift A. Role: Mining Sirdar.,Yes,0,1,Development Panel,Management (Design/Safety),SCCL
2016-07-20,Telangana,Srirampur Area,Above Ground,C,30,8.5,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Surface Substation in a Above Ground operation during shift C. Role: Drill Operator.,Yes,0,1,Surface Substation,Worker & Supervisor,SCCL
2016-07-30,Madhya Pradesh,Dipka OCP,Above Ground,A,23,8.7,HEMM Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Stock Yard in a Above Ground operation during shift A. Role: HEMM Operator.,Yes,0,1,Stock Yard,Shared,SECL
2016-08-02,Odisha,Ananta OCP,Opencast,A,37,16.2,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: Drill Operator.,No,2,0,Shovel-Dumper Face,Worker & Supervisor,MCL
2016-08-23,Madhya Pradesh,Nigahi OCP,Above Ground,C,41,6.7,Overman,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Workshop in a Above Ground operation during shift C. Role: Overman.,Yes,0,1,Workshop,Worker,NCL
2016-09-06,Madhya Pradesh,Kusmunda OCP,Above Ground,B,34,9,Electrician,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Surface Substation in a Above Ground operation during shift B. Role: Electrician.,No,0,1,Surface Substation,Management (Design/Safety),SECL
2016-09-09,Telangana,Manuguru OCP,Above Ground,A,32,10.7,Overman,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Workshop in a Above Ground operation during shift A. Role: Overman.,Yes,0,1,Workshop,Shared,SCCL
2016-09-11,Madhya Pradesh,Umrer OCP,Opencast,A,33,11.6,Blaster,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: Blaster.,No,0,1,Shovel-Dumper Face,Shared,WCL
2016-09-13,Madhya Pradesh,Gondegaon OCP,Below Ground,C,28,3.8,Drill Operator,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Working Face in a Below Ground operation during shift C. Role: Drill Operator.,Yes,1,0,Working Face,Maintenance & Management,WCL
2016-09-14,Jharkhand,Rajrappa Project,Opencast,C,34,4.5,Electrician,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Pit Floor in a Opencast operation during shift C. Role: Electrician.,No,0,2,Pit Floor,Worker & Supervisor,CCL
2016-09-20,Odisha,Balaram OCP,Opencast,C,43,9.9,Mining Sirdar,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Haul Road in a Opencast operation during shift C. Role: Mining Sirdar.,No,1,0,Haul Road,Maintenance & Management,MCL
2016-09-23,Madhya Pradesh,Majri Area,Below Ground,B,28,4.7,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: Overman.,No,0,1,Development Panel,Worker & Supervisor,WCL
2016-10-03,West Bengal,Sodepur Colliery,Below Ground,A,34,8,Mining Sirdar,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Mining Sirdar.,No,0,1,Belt Conveyor Line,Management (Design/Safety),ECL
2016-10-03,Telangana,Srirampur Area,Below Ground,C,30,1.6,Fitter,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Working Face in a Below Ground operation during shift C. Role: Fitter.,No,0,1,Working Face,Shared,SCCL
2016-10-14,Madhya Pradesh,Jayant OCP,Below Ground,A,33,4.3,Dumper Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Development Panel in a Below Ground operation during shift A. Role: Dumper Operator.,Yes,0,1,Development Panel,Maintenance & Management,NCL
2016-10-15,Jharkhand,Katras Colliery,Opencast,C,36,11,Drill Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Fatal,Falls (Other than Fall of Ground) incident at Shovel-Dumper Face in a Opencast operation during shift C. Role: Drill Operator.,No,1,0,Shovel-Dumper Face,Worker,BCCL
2016-10-15,Maharashtra,Umrer OCP,Above Ground,A,33,12.1,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Coal Handling Plant in a Above Ground operation during shift A. Role: Fitter.,No,0,1,Coal Handling Plant,Worker,WCL
2016-10-15,Maharashtra,Gondegaon OCP,Below Ground,C,48,4,Shovel Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Shovel Operator.,Yes,0,1,X-Cut / Junction,Worker & Supervisor,WCL
2016-11-05,West Bengal,Sodepur Colliery,Opencast,B,43,14,Mining Sirdar,Ground Movement,Ground Instability,Fatal,Ground Movement incident at OB Dump Slope in a Opencast operation during shift B. Role: Mining Sirdar.,Yes,2,0,OB Dump Slope,Management (Design/Safety),ECL
2016-11-10,Odisha,Ananta OCP,Below Ground,B,35,7.1,Loader/Helper,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Loader/Helper.,No,0,1,Belt Conveyor Line,Shared,MCL
2016-11-11,Odisha,Ananta OCP,Below Ground,B,28,6.6,Loader/Helper,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Gate Roadway in a Below Ground operation during shift B. Role: Loader/Helper.,No,0,1,Gate Roadway,Shared,MCL
2016-11-11,Maharashtra,Gondegaon OCP,Below Ground,C,33,7.8,Dumper Operator,Transportation Machinery (Winding),Mechanical Failure / Procedural,Fatal,Transportation Machinery (Winding) incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Dumper Operator.,Yes,1,0,Belt Conveyor Line,Worker & Supervisor,WCL
2016-11-12,Tamil Nadu,Neyveli Mine II,Opencast,B,53,5.9,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at OB Dump Slope in a Opencast operation during shift B. Role: Dumper Operator.,No,0,1,OB Dump Slope,Worker & Supervisor,NLC
2016-12-06,Odisha,Ananta OCP,Below Ground,C,42,8.1,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift C. Role: Blaster.,No,0,1,Gate Roadway,Worker,MCL
2016-12-07,West Bengal,Sodepur Colliery,Below Ground,C,27,4.2,Loader/Helper,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Gate Roadway in a Below Ground operation during shift C. Role: Loader/Helper.,No,0,1,Gate Roadway,Worker & Supervisor,ECL
2016-12-11,Maharashtra,Majri Area,Above Ground,A,34,7.5,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Coal Handling Plant in a Above Ground operation during shift A. Role: HEMM Operator.,Yes,0,1,Coal Handling Plant,Worker,WCL
2016-12-11,Jharkhand,Kargali OCP,Opencast,A,37,9.5,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Workshop Yard in a Opencast operation during shift A. Role: Shovel Operator.,Yes,0,1,Workshop Yard,Worker,CCL
2016-12-26,West Bengal,Rajmahal OCP,Below Ground,C,39,10.5,Drill Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Development Panel in a Below Ground operation during shift C. Role: Drill Operator.,Yes,0,1,Development Panel,Worker,ECL
2016-12-29,Odisha,Basundhara OCP,Below Ground,C,30,8.6,Shovel Operator,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Working Face in a Below Ground operation during shift C. Role: Shovel Operator.,No,1,0,Working Face,Maintenance & Management,MCL
2016-12-31,Maharashtra,Umrer OCP,Above Ground,C,47,7.9,HEMM Operator,Electricity,Electrical Safety,Serious Injury,Electricity incident at Coal Handling Plant in a Above Ground operation during shift C. Role: HEMM Operator.,No,0,1,Coal Handling Plant,Maintenance & Management,WCL
2017-01-01,Telangana,Ramagundam OC,Above Ground,B,37,12.3,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Coal Handling Plant in a Above Ground operation during shift B. Role: Electrician.,No,0,1,Coal Handling Plant,Worker,SCCL
2017-01-07,West Bengal,Sariala Colliery,Below Ground,B,38,11.3,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: HEMM Operator.,Yes,1,0,Development Panel,Worker & Supervisor,ECL
2017-01-10,Uttar Pradesh,Nigahi OCP,Below Ground,B,47,13.9,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift B. Role: Shovel Operator.,Yes,0,1,X-Cut / Junction,Worker,NCL
2017-01-15,Madhya Pradesh,Umrer OCP,Below Ground,B,33,10.2,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift B. Role: Dumper Operator.,No,0,1,Working Face,Worker,WCL
2017-01-17,Jharkhand,Jharia Colliery,Below Ground,A,33,8.5,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift A. Role: HEMM Operator.,Yes,0,2,X-Cut / Junction,Worker,BCCL
2017-01-17,Madhya Pradesh,Gevra OCP,Opencast,C,45,3.2,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift C. Role: Dumper Operator.,Yes,0,1,Haul Road,Worker,SECL
2017-01-23,Uttar Pradesh,Dudhia Khurd,Below Ground,C,47,0,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Mining Sirdar.,Yes,0,1,X-Cut / Junction,Worker,NCL
2017-01-29,Chhattisgarh,Chhal OCP,Below Ground,A,30,2.9,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift A. Role: Electrician.,Yes,0,1,Gate Roadway,Worker,SECL
2017-01-30,Jharkhand,Lodna Colliery,Opencast,B,21,7.7,Loader/Helper,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Fatal,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift B. Role: Loader/Helper.,Yes,3,0,Pit Floor,Worker,BCCL
2017-02-03,Chhattisgarh,Kusmunda OCP,Opencast,A,25,2.2,Mining Sirdar,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Pit Floor in a Opencast operation during shift A. Role: Mining Sirdar.,Yes,1,0,Pit Floor,Worker & Supervisor,SECL
2017-02-03,Telangana,Manuguru OCP,Above Ground,C,48,8.9,Loader/Helper,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Stock Yard in a Above Ground operation during shift C. Role: Loader/Helper.,No,0,1,Stock Yard,Worker,SCCL
2017-02-07,Madhya Pradesh,Jayant OCP,Below Ground,A,26,7.1,Shovel Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Shovel Operator.,No,0,1,Belt Conveyor Line,Shared,NCL
2017-02-09,Maharashtra,Gondegaon OCP,Below Ground,B,28,12.5,Overman,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift B. Role: Overman.,Yes,0,1,Gate Roadway,Worker,WCL
2017-02-11,Tamil Nadu,Neyveli Mine IA,Below Ground,C,42,4.4,Mining Sirdar,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Mining Sirdar.,Yes,0,1,Belt Conveyor Line,Maintenance & Management,NLC
2017-02-28,Madhya Pradesh,Gondegaon OCP,Above Ground,B,39,6.5,Mining Sirdar,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Workshop in a Above Ground operation during shift B. Role: Mining Sirdar.,Yes,0,1,Workshop,Maintenance & Management,WCL
2017-03-03,Telangana,Manuguru OCP,Above Ground,C,34,9,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Workshop in a Above Ground operation during shift C. Role: Dumper Operator.,No,0,1,Workshop,Worker & Supervisor,SCCL
2017-03-10,Telangana,Kothagudem Area,Opencast,B,25,3.3,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Workshop Yard in a Opencast operation during shift B. Role: Dumper Operator.,Yes,0,1,Workshop Yard,Worker & Supervisor,SCCL
